idpunto;idapm;SPcod;VITcod;DEcod;FEha;Dapm;Hapm;Gapm;Vapm;W4apm
110242;34;280;6;2;18.84445784;12.5;13.95353383;0.012271846;0.086938375;0.045711775
110242;35;280;6;2;18.84445784;13;14.23890319;0.013273229;0.095570059;0.050250272
110242;36;280;6;2;18.84445784;13;14.23890319;0.013273229;0.095570059;0.050250272
110242;38;280;6;2;18.84445784;10;12.32730594;0.007853982;0.050469901;0.026536829
110242;42;280;6;2;18.84445784;14;14.77443895;0.015393804;0.114190128;0.060040614
110242;43;280;6;1;18.84445784;17;16.13433289;0.022698007;0.180963194;0.094601429
110242;44;280;6;2;18.84445784;12;13.65569497;0.011309734;0.078756498;0.041409783
110242;50;280;6;1;18.84445784;11;13.02021326;0.009503318;0.063731893;0.033316875
117001;35;49;6;1;18.84445784;15.5;13.80833936;0.018869191;0.134568777;0.059596522
117001;45;61;6;1;18.84445784;22.5;16.23067346;0.039760782;0.311005773;0.137735238
117001;61;49;6;1;18.84445784;22.5;16.84462285;0.039760782;0.329199158;0.145792548
117286;2;291;6;2;18.84445784;14.5;11.72237274;0.016512996;0.084788544;0.044581404
117286;9;300;6;3;18.84445784;10.5;10.3266075;0.008659015;0.043310043;0.022248598
117286;27;280;6;4;18.84445784;13.5;11.78240559;0.014313882;0.086481534;0.037928043
117286;28;280;6;4;18.84445784;12.5;11.44322525;0.012271846;0.072612358;0.031845464
117286;41;291;6;2;18.84445784;16.5;12.38617337;0.021382465;0.113916729;0.059896862
197038;10;300;6;1;18.84445784;10.5;11.36220087;0.008659015;0.047657681;0.024913822
197038;32;300;6;1;18.84445784;11;11.71775254;0.009503318;0.053947015;0.028201673
197038;33;300;6;1;18.84445784;10;10.99007012;0.007853982;0.041805867;0.021854691
197038;46;300;6;1;18.84445784;10;10.99007012;0.007853982;0.041805867;0.021854691
197038;53;300;6;1;18.84445784;14.5;13.79231945;0.016512996;0.110379602;0.057702718
197038;89;300;6;1;18.84445784;10;10.99007012;0.007853982;0.041805867;0.021854691
197038;94;300;6;1;18.84445784;13.5;13.26776045;0.014313882;0.09203368;0.048112091
11712;56;308;6;2;18.84445784;15.5;10.51697833;0.018869191;0.109115139;0.05737221
93689;43;20;6;1;18.84445784;11;8.223810735;0.009503318;0.041956605;0.018581337
93689;62;614;6;3;18.84445784;11;8.397498345;0.009503318;0.038180798;0.019613678
261734;39;311;6;3;18.84445784;10;8.616260589;0.007853982;0.038247981;0.01964819
228069;37;308;6;2;18.84445784;9.5;5.667969843;0.007088218;0.020028852;0.010531073
228069;38;308;6;1;18.84445784;13;6.611374717;0.013273229;0.046038492;0.024067364
228069;39;308;6;1;18.84445784;14.5;6.914241082;0.016512996;0.060683353;0.031723202
228069;40;308;6;1;18.84445784;12.5;6.49842821;0.012271846;0.041621109;0.021758106
228069;45;308;6;3;18.84445784;13.5;6.71809884;0.014313882;0.050688612;0.026039008
149739;70;710;6;3;18.84445784;10.5;6.791590443;0.008659015;0.029633628;0.015222951
149739;41;710;6;2;18.84445784;9.5;6.504645154;0.007088218;0.024203487;0.012726076
27559;16;330;6;3;18.84445784;14.5;13.80100549;0.016512996;0.113874745;0.058498057
27559;37;330;6;2;18.84445784;11.5;12.0459077;0.010386891;0.062885531;0.033064906
27559;38;330;6;2;18.84445784;11;11.7158075;0.009503318;0.056048787;0.02947018
27559;39;330;6;2;18.84445784;10;11.01947774;0.007853982;0.043748903;0.02300296
27559;57;330;6;4;18.84445784;13.5;13.25626531;0.014313882;0.094949169;0.041641678
262526;11;313;6;1;18.84445784;12;5.639077266;0.011309734;0.037534892;0.01962197
16144;3;20;6;1;18.84445784;9;6.611403776;0.006361725;0.022157418;0.009812863
16144;13;20;6;1;18.84445784;18;15.18050762;0.0254469;0.191300189;0.084721183
16144;24;280;6;3;18.84445784;14.5;15.10344088;0.016512996;0.124778529;0.064099389
16144;25;280;6;4;18.84445784;10;11.57191714;0.007853982;0.047710919;0.020924488
16144;26;51;6;4;18.84445784;10.5;8.143222835;0.008659015;0.039048125;0.013836628
16144;29;20;6;1;199.044586;6;3.673284914;0.002827433;0.002349695;0.00104061
52156;4;52;6;3;18.84445784;26;10.07096482;0.053092916;0.229939328;0.088353201
125402;3;308;6;1;199.044586;5;5.208955654;0.001963495;0.004701116;0.002457584
125402;4;308;6;1;199.044586;6;6.096156432;0.002827433;0.008312399;0.004345441
125402;35;60;6;1;18.84445784;28;16.50876491;0.061575216;0.486360328;0.215394572
125402;38;60;6;1;18.84445784;34;17.66244468;0.090792028;0.761816793;0.337386075
125402;41;60;6;1;18.84445784;28.5;16.62314166;0.063793966;0.507005804;0.224537841
145094;24;440;6;1;18.84445784;14;10.88950625;0.015393804;0.079113145;0.041357673
145094;25;440;6;1;18.84445784;12;10.37542091;0.011309734;0.055058023;0.02878247
145094;26;440;6;2;18.84445784;14;10.88950625;0.015393804;0.079113145;0.041597307
33644;6;291;6;1;18.84445784;17.5;14.12143089;0.024052819;0.144082259;0.075321326
33644;13;20;6;1;18.84445784;39.5;26.28803894;0.122541748;1.481494643;0.656110061
33644;15;20;6;1;18.84445784;50;28.46245155;0.196349541;2.544203249;1.1267522
149739;71;710;6;3;18.84445784;10.5;6.791590443;0.008659015;0.029633628;0.015222951
201881;17;308;6;2;18.84445784;12;9.882059654;0.011309734;0.060420705;0.031768913
201881;22;300;6;2;18.84445784;12;11.57934308;0.011309734;0.063450671;0.033362054
201881;59;308;6;1;18.84445784;9.5;8.490406177;0.007088218;0.031634372;0.016537378
47685;5;240;6;1;18.84445784;11;10.23681189;0.009503318;0.045141934;0.023598674
47685;7;260;6;1;199.044586;6;9.101730602;0.002827433;0.011224194;0.005867628
47685;11;350;6;1;199.044586;5;9.923383929;0.001963495;0.009590724;0.005013706
47685;14;330;6;1;199.044586;6;7.670939863;0.002827433;0.011571842;0.006049367
47685;46;614;6;3;18.84445784;10;8.451225717;0.007853982;0.032461458;0.016675622
33241;29;260;6;1;199.044586;5;6.962298396;0.001963495;0.005260025;0.002749763
18928;36;280;6;4;18.84445784;15;12.34134114;0.017671459;0.110588861;0.048500748
18928;37;280;6;2;18.84445784;21;13.56173079;0.034636059;0.232076857;0.122024882
18928;39;280;6;2;18.84445784;20;13.40897646;0.031415927;0.208792042;0.10978184
199584;2;352;6;1;18.84445784;15;12.91581004;0.017671459;0.113538719;0.059354197
199584;3;352;6;1;18.84445784;13.5;12.33901364;0.014313882;0.087834125;0.045916706
199584;4;352;6;1;18.84445784;16;13.28164007;0.020106193;0.132859737;0.069454571
199584;5;352;6;1;18.84445784;11.5;11.5080729;0.010386891;0.059408765;0.03105689
54772;11;280;6;3;18.84445784;16.5;15.75880658;0.021382465;0.166986144;0.085781664
54772;13;280;6;3;18.84445784;12;13.55441399;0.011309734;0.078223815;0.040183987
54772;19;280;6;3;18.84445784;16.5;15.75880658;0.021382465;0.166986144;0.085781664
54772;32;280;6;3;18.84445784;10;12.2591487;0.007853982;0.050220964;0.025798774
54772;34;280;6;3;18.84445784;20;16.97122399;0.031415927;0.260835053;0.133992344
54772;35;280;6;3;18.84445784;14;14.64080078;0.015393804;0.113233452;0.058168622
118878;9;90;6;3;18.84445784;14;15.64004007;0.015393804;0.111399145;0.042804644
118878;14;280;6;4;18.84445784;11;13.07567975;0.009503318;0.063977021;0.028058281
118878;15;280;6;4;18.84445784;10;12.24899883;0.007853982;0.050183892;0.022009055
118878;18;280;6;3;18.84445784;10.5;12.6690796;0.008659015;0.056833462;0.029195649
118878;22;280;6;4;18.84445784;12.5;14.21905023;0.012271846;0.088453644;0.038792947
118878;24;90;6;3;18.84445784;11.5;13.62378081;0.010386891;0.066143803;0.025415473
27559;64;330;6;1;199.044586;6;7.671640032;0.002827433;0.011572824;0.006049881
168738;15;300;6;1;18.84445784;26;18.57593971;0.053092916;0.478127548;0.249948889
35272;4;20;6;1;18.84445784;14.5;12.0940674;0.016512996;0.102312928;0.045311363
35272;10;20;6;2;18.84445784;14;11.56158163;0.015393804;0.091767777;0.038898639
149739;24;710;6;2;18.84445784;9.5;6.504645154;0.007088218;0.024203487;0.012726076
110242;2;280;6;1;199.044586;5;7.765123789;0.001963495;0.008812679;0.00460697
110242;4;280;6;1;199.044586;8;10.74518228;0.005026548;0.029073577;0.015198682
110242;8;280;6;1;199.044586;7;9.841751257;0.003848451;0.020825212;0.010886716
110242;9;280;6;2;18.84445784;10;12.32730594;0.007853982;0.050469901;0.026536829
110242;11;280;6;2;18.84445784;16.5;15.93082911;0.021382465;0.168696678;0.088699893
110242;14;280;6;1;199.044586;5;7.765123789;0.001963495;0.008812679;0.00460697
110242;15;280;6;1;199.044586;8;10.74518228;0.005026548;0.029073577;0.015198682
110242;18;280;6;2;18.84445784;13;14.23890319;0.013273229;0.095570059;0.050250272
110242;19;280;6;1;199.044586;7;9.841751257;0.003848451;0.020825212;0.010886716
110242;21;280;6;2;18.84445784;14.5;15.025637;0.016512996;0.124181059;0.065293797
33241;49;51;6;3;18.84445784;16;9.373819608;0.020106193;0.098540183;0.037863643
33241;57;308;6;1;18.84445784;10.5;7.800650939;0.008659015;0.035451813;0.018533007
149739;67;711;6;1;18.84445784;9;6.34760379;0.006361725;0.021737889;0.011363832
251837;7;352;6;1;18.84445784;14.5;9.362776279;0.016512996;0.076873657;0.040186945
252197;10;311;6;1;18.84445784;13.5;8.094378587;0.014313882;0.06479436;0.033872297
94955;10;280;6;1;18.84445784;22.5;18.83664135;0.039760782;0.36304859;0.189789508
40524;8;49;6;1;18.84445784;16;11.53922174;0.020106193;0.123867755;0.054857357
24092;28;400;6;3;18.84445784;15;13.8408354;0.017671459;0.12370439;0.063547598
