fdname;fdcod;fddesc1;fddesc1_lat;fddesc2;fddesc2_en
SPcod;10;abete bianco;Abies alba;albero;tree
SPcod;11;abete dei Nebrodi;Abies nebrodensis;albero;tree
SPcod;12;abete greco;Abies cephalonica;albero;tree
SPcod;9;abete (altre sp. di Abies);Abies sp.;albero;tree
SPcod;20;abete rosso;Picea abies;albero;tree
SPcod;19;abete (altre sp. di Picea);Picea sp.;albero;tree
SPcod;695;acacia;Acacia sp.;arbusto;shrub
SPcod;200;acero americano;Acer negundo;albero;tree
SPcod;201;acero campestre;Acer campestre;albero;tree
SPcod;204;acero d' Ungheria;Acer gr. opalus;albero;tree
SPcod;202;acero di Lobelius;Acer lobelii;albero;tree
SPcod;203;acero di monte;Acer pseudoplatanus;albero;tree
SPcod;205;acero minore;Acer monspessulanum;albero;tree
SPcod;207;acero riccio;Acer platanoides;albero;tree
SPcod;700;agnocasto;Vitex agnus-castus;arbusto;shrub
SPcod;470;agrifoglio (arboreo);Ilex aquifolium;albero;tree
SPcod;471;agrifoglio (arbustivo);Ilex aquifolium;arbusto;shrub
SPcod;210;ailanto;Ailanthus altissima;albero;tree
SPcod;647;alaterno;Rhamnus alaternus;arbusto;shrub
SPcod;215;albero della canfora;Cinnamomum camphora;albero;tree
SPcod;220;albero di Giuda;Cercis siliquastrum;albero;tree
SPcod;539;alimo;Atriplex halimus;arbusto;shrub
SPcod;480;alloro (arboreo);Laurus nobilis;albero;tree
SPcod;481;alloro (arbustivo);Laurus nobilis;arbusto;shrub
SPcod;537;assenzio arbustivo;Artemisia arborescens;arbusto;shrub
SPcod;230;bagolaro;Celtis sp.;albero;tree
SPcod;240;betulla verrucosa;Betula pendula;albero;tree
SPcod;241;betulla pubescente;Betula pubescens;albero;tree
SPcod;239;betulla (altre sp.);Betula sp.;albero;tree
SPcod;540;biancospino;Crataegus sp.;arbusto;shrub
SPcod;544;bosso;Buxus sp.;arbusto;shrub
SPcod;550;brugo;Calluna vulgaris;arbusto;shrub
SPcod;552;buddleja;Buddleja davidii;arbusto;shrub
SPcod;553;bupleuro cespuglioso;Bupleurum fruticosum;arbusto;shrub
SPcod;557;canna comune;Arundo donax;arbusto;shrub
SPcod;558;cannuccia di palude;Phragmites australis;arbusto;shrub
SPcod;555;caprifoglio;Lonicera sp.;arbusto;shrub
SPcod;250;carpino bianco;Carpinus betulus;albero;tree
SPcod;260;carpino nero;Ostrya carpinifolia;albero;tree
SPcod;251;carpino orientale;Carpinus orientalis;albero;tree
SPcod;270;carrubo (arboreo);Ceratonia siliqua;albero;tree
SPcod;271;carrubo (arbustivo);Ceratonia siliqua;arbusto;shrub
SPcod;280;castagno;Castanea sativa;albero;tree
SPcod;285;catalpa;Catalpa bignonioides;albero;tree
SPcod;30;cedro;Cedrus sp.;albero;tree
SPcod;40;cembro;Pinus cembra;albero;tree
SPcod;290;ceraso;Prunus cerasifera;albero;tree
SPcod;300;cerro;Quercus cerris;albero;tree
SPcod;310;cerrosughera;Quercus crenata;albero;tree
SPcod;320;ciavardello;Sorbus torminalis;albero;tree
SPcod;291;ciliegio selvatico;Prunus avium;albero;tree
SPcod;60;cipresso;Cupressus sempervirens;albero;tree
SPcod;61;cipresso dell'Arizona;Cupressus arizonica;albero;tree
SPcod;65;cipresso delle paludi;Taxodium distichum;albero;tree
SPcod;70;cipresso di Lawson;Chamaecyparis lawsoniana;albero;tree
SPcod;59;cipresso (altre sp.);Cupressus sp.;albero;tree
SPcod;705;cisto;Cistus sp.;arbusto;shrub
SPcod;590;citiso;Cytisus sp.;arbusto;shrub
SPcod;709;citiso di Montpellier;Teline sp.;arbusto;shrub
SPcod;708;citiso scuro;Lembotropis nigricans;arbusto;shrub
SPcod;703;clematide;Clematis sp.;arbusto;shrub
SPcod;316;coccifera (arborea);Quercus gr. coccifera;albero;tree
SPcod;317;coccifera (arbustiva);Quercus gr. coccifera;arbusto;shrub
SPcod;294;cocomilio;Prunus cocomilia;arbusto;shrub
SPcod;711;corbezzolo (arboreo);Arbutus unedo;albero;tree
SPcod;710;corbezzolo (arbustivo);Arbutus unedo;arbusto;shrub
SPcod;560;coriaria;Coriaria myrtifolia;arbusto;shrub
SPcod;562;cornetta;Coronilla sp.;arbusto;shrub
SPcod;565;corniolo sanguinello;Cornus sanguinea;arbusto;shrub
SPcod;566;corniolo maschio;Cornus mas;arbusto;shrub
SPcod;568;cotognastro;Cotoneaster sp.;arbusto;shrub
SPcod;569;crespino;Berberis sp.;arbusto;shrub
SPcod;75;criptomeria del Giappone;Cryptomeria japonica;albero;tree
SPcod;571;dafne;Daphne sp.;arbusto;shrub
SPcod;513;dulcamara;Solanum dulcamara;arbusto;shrub
SPcod;572;edera;Hedera helix;arbusto;shrub
SPcod;573;efedra;Ephedra sp.;arbusto;shrub
SPcod;598;erba medica arborea;Medicago arborea;arbusto;shrub
SPcod;715;erica arborea;Erica arborea;arbusto;shrub
SPcod;716;erica multiflora;Erica multiflora;arbusto;shrub
SPcod;717;erica scoparia;Erica scoparia;arbusto;shrub
SPcod;714;erica (altre sp.);Erica sp.;arbusto;shrub
SPcod;490;eucalipti;Eucalyptus sp.;albero;tree
