idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
45519;1;500;2;5;18.84445784;53.5;0.14;0.031472083;0.00965672
234128;1;308;2;2;18.84445784;15.5;0.31;0.005849449;0.002891299
234128;2;308;2;3;18.84445784;10;0.075;0.000589049;0.000265043
234128;3;308;2;2;18.84445784;12;0.155;0.001753009;0.000866487
234128;4;308;2;2;18.84445784;14;0.17;0.002616947;0.001293519
234128;5;308;2;4;18.84445784;15;0.195;0.003445934;0.001414319
234128;6;308;2;3;18.84445784;14.5;0.14;0.002311819;0.001040207
266463;3;490;2;2;18.84445784;14;0.06;0.000923628;0.000456536
193636;1;42;2;5;18.84445784;28;0.115;0.00708115;0.001920328
193636;2;42;2;5;18.84445784;10;0.11;0.000863938;0.00023429
193636;3;42;2;4;18.84445784;19.5;0.19;0.005674305;0.00195616
193636;4;42;2;4;18.84445784;35.5;0.205;0.02029086;0.006995069
193636;5;42;2;3;18.84445784;18.5;0.205;0.005510452;0.002187521
193636;6;42;2;4;18.84445784;29.5;0.24;0.016403826;0.005655054
193636;7;42;2;3;18.84445784;19.5;0.115;0.003434448;0.001363396
193636;8;42;2;4;18.84445784;10;0.04;0.000314159;0.000108303
73111;1;80;2;5;18.84445784;21.5;0.265;0.009620833;0.002609061
73111;2;80;2;5;18.84445784;30.5;0.175;0.012785791;0.003467362
73111;3;120;2;5;18.84445784;27;0.145;0.008302051;0.002251423
73111;4;510;2;4;18.84445784;9.5;0.07;0.000496175;0.000203646
73111;5;614;2;4;18.84445784;11;0.06;0.000570199;0.000234028
73111;6;80;2;2;18.84445784;19.5;0.115;0.003434448;0.001548569
73111;7;510;2;4;18.84445784;10;0.11;0.000863938;0.000354587
73111;8;120;2;5;18.84445784;35.5;0.19;0.018806163;0.005100019
73111;9;510;2;5;18.84445784;14.5;0.34;0.005614419;0.001722697
73111;10;80;2;5;18.84445784;33;0.135;0.011546531;0.003131289
73111;11;321;2;5;18.84445784;11.5;0.175;0.001817706;0.000557735
73111;12;321;2;5;18.84445784;11;0.16;0.001520531;0.000466551
73111;13;614;2;5;18.84445784;10;0.165;0.001295907;0.000397629
