idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Wnef_ha;Cnef_ha;Clt_ha;Cor_ha;Css_ha;Csp_ha
7334;46.5321704;13.12994038;5154901;2376596;Est;006;Friuli-Venezia Giulia;4;0.05324752;0.02662376;6.298956144;44.6090853;74.61796691;90.80031918
7470;46.52317449;11.30524815;5154785;1676837;Ovest;0041;Alto Adige;8;1.859606432;0.929803216;9.429066853;13.66558093;20.72361053;18.83755508
7473;46.52317449;11.3443463;5154873;1679836;Ovest;0041;Alto Adige;9;0.737063354;0.368531677;7.371827107;3.884619765;42.44164899;30.49505534
7724;46.51417857;10.99270383;5153132;1652890;Ovest;0041;Alto Adige;1;0;0;1.16018467;11.61021143;40.94623485;19.6803877
7802;46.51417857;12.00908798;5155603;1730857;Ovest;005;Veneto;1;0;0;8.20066123;2.94147865;69.04736098;71.52553462
7804;46.51417857;12.03514911;5155679;1732856;Ovest;005;Veneto;1;2.694161974;1.347080987;1.913736842;7.492756189;35.46872907;37.83036447
7881;46.51417857;13.03850269;5153072;2369534;Est;006;Friuli-Venezia Giulia;3;1.429520718;0.714760359;4.278696393;9.527333014;12.78159136;20.49825251
7984;46.50518263;10.69329101;5151596;1629943;Ovest;0041;Alto Adige;1;0;0;0.635564984;5.848991666;35.39737209;9.877536674
8187;46.50518263;13.33805954;5151545;2392493;Est;006;Friuli-Venezia Giulia;7;7.632521727;3.816260863;8.852376761;6.573342543;51.32963819;45.73246648
8273;46.49618668;10.6805548;5150575;1628987;Ovest;0041;Alto Adige;1;0;0;2.709421581;0.337482391;36.31477648;29.71012672
8327;46.49618668;11.38397326;5151965;1682965;Ovest;0041;Alto Adige;12;0.452517823;0.226258911;2.749178304;13.2656704;47.0883583;31.79171087
8476;46.49618668;13.32488717;5150567;2391461;Est;006;Friuli-Venezia Giulia;7;1.567700271;0.783850136;4.891956109;24.20764872;31.88422258;41.62902221
8598;46.48719071;11.13669108;5150422;1664017;Ovest;0041;Alto Adige;2;0;0;6.140475017;42.64614659;46.43066959;38.6069567
8828;46.47819473;10.34256749;5148079;1603086;Ovest;003;Lombardia;4;0.138155727;0.069077864;11.04904308;13.87995797;62.47138512;26.65237398
8864;46.47819473;10.81135854;5148798;1639071;Ovest;0041;Alto Adige;1;1.063156495;0.531578248;5.109517124;0;16.83625322;0
8970;46.47819473;12.19168775;5152156;1745026;Ovest;005;Veneto;4;0;0;9.842239402;40.98739146;36.56288713;54.94446165
8997;46.47819473;12.54328104;5153307;1772012;Ovest;005;Veneto;2;6.590111153;3.295055577;5.567154704;30.64699043;48.28491961;78.30395781
9081;46.47819473;13.63712683;5148108;2415387;Est;006;Friuli-Venezia Giulia;2;4.333852855;2.166926428;4.982904627;2.947784068;27.68073319;28.22005614
9112;46.46919873;10.23875643;5146949;1595132;Ovest;003;Lombardia;1;0.048361703;0.024180852;7.160967817;23.37467182;33.58683824;46.66325241
9263;46.46919873;12.20475049;5151197;1746069;Ovest;005;Veneto;4;0;0;4.532410719;24.80809608;27.55733015;51.69170801
9307;46.46919873;12.77762293;5148605;2349382;Est;006;Friuli-Venezia Giulia;1;6.836410071;3.418205036;1.267753324;2.886442882;30.57923781;46.98632022
9347;46.46919873;13.29841605;5147612;2389365;Est;006;Friuli-Venezia Giulia;13;4.245556574;2.122778287;0.877493926;0.342058381;39.48149713;34.14834122
9459;46.46020272;10.90302287;5146965;1646156;Ovest;0041;Alto Adige;1;1.719557106;0.859778553;13.83403296;5.944023244;37.22930338;52.045332
9470;46.46020272;11.04621739;5147239;1657150;Ovest;0041;Alto Adige;3;0.154273895;0.077136948;0.740205542;2.303368806;47.12966761;70.48711593
359;46.96395739;11.92655228;5205342;1722665;Ovest;0041;Alto Adige;13;7.779483924;3.889741962;2.055040667;0.467658741;38.27468453;60.83735357
