fdname;fddesc;fddesc_en;datatype;tabdecod;refyear;munit
idpunto;identificativo del punto di campionamento;NFI-plot number;character;-1;2005;-1
LAT_ND_W84;latitudine nodo S-O maglia reticolo inventariale contenente punto C, sistema geodetico WGS84 ;latitude of the S-W node of the NFI grid, WGS84 datum;numeric;-1;2005;Ddec
LON_ND_W84;latitudine nodo S-O maglia reticolo inventariale contenente punto C, sistema geodetico WGS84;longitude of the S-W node of NFI grid, WGS84 datum;numeric;-1;2005;Ddec
NORD_ND_GB;coordinata N nodo S-O maglia reticolo inventariale contenente punto C, sistema cartografico nazionale Gauss-Boaga;North coordinate of the S-W node of NFI grid, Gauss-Boaga projection ;numeric;-1;2005;m
EST_ND_GB;coordinata E nodo S-O maglia reticolo inventariale contenente punto C, sistema cartografico nazionale Gauss-Boaga;East coordinate of the S-W node of NFI grid, Gauss-Boaga projection ;numeric;-1;2005;m
FUSO;fuso di appartenenza punto C, nel sistema nazionale Gauss-Boaga;zone (Est=East, Ovest=West), Gauss-Boaga projection ;character;-1;2005;-1
codISTAT05;codice Istat distretto (regione, provincia autonoma) INFC2005;administrative region, Italian National Statistics code;character;-1;2005;-1
nomedist05;nome distretto (regione, provincia autonoma) INFC2005;administrative region, name;character;-1;2005;-1
codcfor;codice categoria forestale;forest category, code;character;d1_05_codcfor;2005;-1
Napv_ha;numero alberi vivi, per ettaro;number of living trees, per hectare;numeric;-1;2005;numha-1
Gapv_ha;area basimetrica alberi vivi, per ettaro;basal area of living trees, per hectare;numeric;-1;2005;m2ha-1
Vapv_ha;volume fusto e rami grossi alberi vivi, per ettaro;volume of living trees (stem+large branches), per hectare;numeric;-1;2005;m3ha-1
W1apv_ha;fitomassa (peso secco) fusto e rami grossi alberi vivi, per ettaro;dry weight of stem+large branches of living trees, per hectare ;numeric;-1;2005;Mgha-1
W2apv_ha;fitomassa  (peso secco) ramaglia alberi vivi, per ettaro;dry weight of small branches of living trees, per hectare;numeric;-1;2005;Mgha-1
W3apv_ha;fitomassa  (peso secco) ceppaia alberi vivi, per ettaro;dry weight of stumps of living trees, per hectare;numeric;-1;2005;Mgha-1
W4apv_ha;fitomassa  (peso secco) arborea epigea alberi vivi, per ettaro;dry weight of total above-ground biomass of living trees, per hectare;numeric;-1;2005;Mgha-1
Capv_ha;carbonio organico alberi vivi, per ettaro;organic carbon stock of total above-ground biomass of living trees, per hectare;numeric;-1;2005;Mgha-1
Napm_ha;numero alberi morti in piedi, per ettaro;number of standing dead trees, per hectare;numeric;-1;2005;numha-1
