idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Napv_ha;Gapv_ha;Vapv_ha;W1apv_ha;W2apv_ha;W3apv_ha;W4apv_ha;Capv_ha;Napm_ha;Gapm_ha;Vapm_ha;Wapm_ha;Capm_ha;ICVapv_ha;ICWapv_ha;ICCapv_ha;Nce_ha;Vce_ha;Wce_ha;Cce_ha;Vne_ha;Wne_ha;Cne_ha;Nrin1_ha;Wrin1_ha;Crin1_ha;Nrin2_ha;Wrin2_ha;Crin2_ha;Nrin3_ha;Wrin3_ha;Crin3_ha;Warb1_ha;Carb1_ha;Warb2_ha;Carb2_ha;Warb3_ha;Carb3_ha;Vut_ha;Wut_ha;Cut_ha
10251;46.44221066;13.36306507;5144508;2394266;Est;006;Friuli-Venezia Giulia;4;452.2669883;15.40980916;123.5463943;54.94499408;17.09549601;1.117043788;73.15753388;36.57876694;18.84445784;0.148004026;0.798373242;0.410128549;0.205064274;1.473926276;0.855796938;0.427898469;0;0;0;0;2.841307286;0.814776106;0.407388053;1591.549431;0.052148709;0.026074354;5570.423008;1.847141129;0.923570564;7957.747155;17.14202188;8.571010939;0.377069891;0.188534946;0;0;0;0;0;0;0
10253;46.44221066;13.38909186;5144467;2396266;Est;006;Friuli-Venezia Giulia;8;395.7336147;42.79425403;591.9888386;284.5105715;57.13588461;7.111242605;348.7576987;174.3788494;37.68891569;2.282962098;23.45336545;8.844491755;4.422245878;7.026799893;5.386318989;2.693159494;113.0667471;6.013568223;2.062729652;1.031364826;11.08207277;3.344794309;1.672397155;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
195651;41.45621834;14.58252736;4589496;2485141;Est;014;Molise;24;3553.358082;12.64870155;44.78183136;25.25909921;11.7537298;1.206168175;38.21899718;19.10949859;0;0;0;0;0;4.309115601;2.921580377;1.460790189;0;0;0;0;0.197338701;0.092467499;0.04623375;6366.197724;0.208594835;0.104297417;124936.6303;41.42873674;20.71436837;4774.648293;10.28521313;5.142606563;1.034113441;0.517056721;0.96947642;0.48473821;0;0;0;0;0
90176;44.75070272;9.82546654;4955608;1565368;Ovest;008;Emilia Romagna;10;1491.067727;25.91189732;184.4126003;116.8562419;32.08330587;3.25120333;152.1907511;76.09537555;462.8669958;4.646308883;29.21845118;15.09073656;7.545368278;3.440150329;2.810611154;1.405305577;0;0;0;0;0.74176781;0.255175545;0.127587773;0;0;0;795.7747155;0.263877304;0.131938652;1591.549431;3.428404376;1.714202188;0;0;0;0;0;0;0;0;0
91001;44.73270525;9.78840853;4953580;1562454;Ovest;008;Emilia Romagna;8;376.8891569;14.66238883;121.9144841;66.67971055;14.81269294;2.059696105;83.55209959;41.7760498;0;0;0;0;0;2.584632112;1.981222354;0.990611177;263.8224098;7.37222668;3.31413062;1.65706531;0;0;0;7957.747155;0.260743543;0.130371772;11936.62073;3.958159561;1.979079781;6366.197724;13.7136175;6.856808751;0.282802418;0.141401209;3.877905681;1.938952841;0;0;0;0;0
253631;39.78124521;8.5532518;4403580;1461774;Ovest;020;Sardegna;17;2606.424076;7.151554527;24.20757149;12.7266815;7.863846352;1.053578455;21.64410631;10.82205315;0;0;0;0;0;7.156729664;5.596699165;2.798349582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
253642;39.78124521;8.68165788;4403533;1472770;Ovest;020;Sardegna;5;1060.000754;15.52996993;84.85565815;40.00074267;11.93270868;1.058023718;52.99147506;26.49573753;0;0;0;0;0;3.38730678;1.884718667;0.942359333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.094267473;0.047133736;0.96947642;0.48473821;0;0;0;0;0
4399;46.65811166;12.50438762;5173164;1768138;Ovest;005;Veneto;1;395.7336147;21.41729257;172.7092741;81.12321611;12.98261823;1.714931991;95.82076633;47.91038317;18.84445784;0.684148609;5.063769349;1.94573167;0.972865835;5.578771421;3.013824061;1.506912031;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.895540992;0.447770496;0.193895284;0.096947642;0;0;0;0;0
4556;46.64911595;12.41293842;5171857;1761185;Ovest;005;Veneto;2;500.5559115;26.40216066;241.5241085;99.76104788;22.03629294;2.053454338;123.8507952;61.92539758;0;0;0;0;0;6.358367513;3.310071312;1.655035656;113.0667471;1.456237511;0.579909727;0.289954863;0.273536107;0.112572113;0.056286057;0;0;0;795.7747155;0.615621665;0.307810832;1591.549431;3.478176105;1.739088053;0.023566868;0.011783434;0;0;0;0;0;0;0
4741;46.64012022;12.60885645;5171526;1776222;Ovest;005;Veneto;2;791.4672295;40.21750395;336.3387891;140.3915283;31.93157826;3.00519325;175.3282998;87.6641499;18.84445784;2.930849721;26.21048283;10.0712657;5.035632848;7.559335544;3.93527736;1.96763868;37.68891569;0.913147838;0.314798506;0.157399253;8.30074412;2.550628107;1.275314054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5100;46.62212873;12.63491741;5169619;1778308;Ovest;005;Veneto;2;376.8891569;16.25417213;173.0534015;66.58753908;20.37692177;1.564314744;88.52877559;44.2643878;0;0;0;0;0;1.292942347;0.673086505;0.336543253;339.2002412;23.49135438;9.153370828;4.576685414;4.754913004;1.318986843;0.659493422;3183.098862;0.604807882;0.302403941;795.7747155;0.615621665;0.307810832;0;0;0;0;0;0;0;0;0;0;0;0
5293;46.61313296;12.73932138;5164680;2346899;Est;006;Friuli-Venezia Giulia;2;75.37783138;10.65258976;121.2145507;46.5466126;12.62820243;1.179011524;60.35382655;30.17691328;37.68891569;0.51875411;1.670003425;0.739595012;0.369797506;1.56205353;0.813181774;0.406590887;433.4225304;47.329608;21.24029803;10.62014902;0.00166668;0.000675625;0.000337813;795.7747155;0.026074354;0.013037177;3183.098862;1.055509216;0.527754608;0;0;0;0.023566868;0.011783434;0;0;0;0;0;0;0
5479;46.60413718;12.7131696;5167900;1784393;Ovest;005;Veneto;2;1200.156409;27.71171878;234.8311867;92.1055277;28.61549977;2.235350425;122.9563779;61.47818894;0;0;0;0;0;5.097486671;2.653675547;1.326837774;188.4445784;2.714726843;1.016456224;0.508228112;0.128023482;0.037819746;0.018909873;0;0;0;0;0;0;0;0;0;0.023566868;0.011783434;0;0;0;0;0;0;0
5861;46.58614557;12.46517502;5165035;1765490;Ovest;005;Veneto;3;575.9337429;28.20484969;307.6525894;118.6661737;35.21198708;2.838216292;156.716377;78.35818851;0;0;0;0;0;4.384880975;2.365481239;1.18274062;75.37783138;2.141547952;0.765914978;0.382957489;0.925715847;0.337693184;0.168846592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5899;46.58614557;12.96099143;5161219;2363795;Est;006;Friuli-Venezia Giulia;8;1883.268006;24.08821022;190.9381254;118.9910674;31.56442417;3.672192025;154.2276836;77.11384181;199.044586;0.390823131;1.925673149;1.006676706;0.503338353;8.211175093;6.294189247;3.147094623;0;0;0;0;3.159269268;1.18724792;0.59362396;5570.423008;0.18252048;0.09126024;0;0;0;795.7747155;1.714202188;0.857101094;0.188534946;0.094267473;0.387790568;0.193895284;0;0;0;0;0
6112;46.57714974;12.94786163;5160246;2362764;Est;006;Friuli-Venezia Giulia;1;56.53337353;4.936304271;41.12999122;20.22831868;1.46344575;0.23596183;21.92772627;10.96386313;0;0;0;0;0;0.664771709;0.359130142;0.179565071;113.0667471;0.660159007;0.279142828;0.139571414;2.630759225;1.127636268;0.563818134;1591.549431;0.302403941;0.151201971;0;0;0;0;0;0;1.201910278;0.600955139;0;0;0;0;0;0;0
6114;46.57714974;12.97395292;5160194;2364763;Est;006;Friuli-Venezia Giulia;2;1105.93412;56.15263489;767.4837492;294.6095677;80.40513596;7.573713619;382.5884172;191.2942086;0;0;0;0;0;10.77222972;5.607862159;2.80393108;150.7556628;10.40479402;2.888725217;1.444362609;3.950720796;1.167092571;0.583546286;795.7747155;0.151201971;0.075600985;795.7747155;0.615621665;0.307810832;795.7747155;1.714202188;0.857101094;0.070700605;0.035350302;0.193895284;0.096947642;0;0;0;0;0
6126;46.57714974;13.13050062;5159898;2376757;Est;006;Friuli-Venezia Giulia;2;150.7556628;16.61604197;193.0411047;75.80102648;20.46962363;1.930581395;98.20123151;49.10061575;18.84445784;0.148004026;0.612683885;0.27133953;0.135669765;6.918705407;3.601774863;1.800887432;301.5113255;13.98233808;4.909672773;2.454836386;11.31098567;3.366875809;1.683437904;4774.648293;0.156446126;0.078223063;795.7747155;0.263877304;0.131938652;0;0;0;0.754139782;0.377069891;0.387790568;0.193895284;1.598941382;0.799470691;0;0;0
