"idpunto","SpRich","LAT_ND_W84","LON_ND_W84","codcfor","Capv_ha","Capm_ha","ICVapv_ha","ICWapv_ha","ICCapv_ha","vpd","elev","slope","aspect","climate_classification","FDis_All","cwm_SeedMass_log","cwm_Height_log","cwm_SLA_log","cwm_StemDensity","cwm_XylemVulnerability","FDis_SeedMass","FDis_Height","FDis_SLA","FDis_StemDensity","FDis_XylemVulnerability","cwm_Dim1","cwm_Dim2"
44,20,47.0449138,12.08366855,1,20.35140807,0,2.193076691,1.184767541,0.592383771,0.181666672229767,1985,18.3101052741629,146.196608021434,0,0.0217851167249577,1.79175946922806,3.52431838094494,2.21486555504774,0.46,-3.787,3.33066907387547e-17,0.0913574827493902,0.349820906327151,0.142828851961717,0.0131603560933993,-1.00690734740089,1.3138234417081
68,10,47.0359187,12.13635858,1,73.69718586,0,3.420393009,1.847801598,0.923900799,0.157499998807907,2220,21.4235179542587,328.191473721261,0,0.0387290963999248,1.79175946922805,3.56739667255418,2.10342949048411,0.45,-3.804,6.66133814775094e-17,0.162413302665582,0.621903833470491,0.253917959043053,0.0233961886104876,-0.997726446806528,1.44572090731059
137,34,46.99993816,11.47916104,2,24.57443954,0.986203941,1.837824415,0.956743985,0.478371992,0.293333321809769,1985,10.1700802941045,90.3466217219157,0,0,1.79175946922805,3.91202300542815,1.21194097397511,0.37,-3.94,0,0,0,0,0,-0.924279242051605,2.50090063213052
155,17,46.99993816,12.03138509,1,113.8431158,0,5.841778032,3.155908329,1.577954164,0.214166656136513,2077,17.3966470855515,310.663361839638,0,0,1.79175946922805,3.48124008933569,2.32630161961136,0.47,-3.77,0,0,0,0,0,-1.01608824799526,1.18192597610561
186,2,46.99094299,12.00516371,2,2.365051486,0,0.273024779,0.142132629,0.071066314,0.214166656136513,1765,18.325412172972,303.821814191318,0,0,1.79175946922805,3.91202300542815,1.21194097397511,0.37,-3.94,0,0,0,0,0,-0.924279242051605,2.50090063213052
236,29,46.9819478,11.97895112,2,46.99960888,0,5.595598385,2.912985078,1.456492539,0.28999999165535,1774,18.5815739905013,347.996607876279,0,0.0864076454848588,1.97911421863846,3.57203249591962,1.80135547881128,0.441379310344828,-3.68793103448276,0.329413957129595,0.359132982365551,1.02794128379842,0.507798177604679,0.123970589174174,-0.971586978683059,1.85140384672268
289,27,46.9729526,11.88703943,2,166.2295556,0.967111742,6.862699307,3.572618923,1.786309461,0.25,1866,21.0281841345639,92.4471556647345,0,0.00863302903290506,1.79175946922805,3.89606808260991,1.25321359048016,0.373703703703704,-3.9337037037037,1.2335811384724e-17,0.0362032396202429,0.138627397721474,0.0566003680994459,0.0052151997931471,-0.927679575605073,2.45204971894441
295,79,46.9729526,11.96588889,2,91.55749423,0,8.210827686,4.274434454,2.137217227,0.28999999165535,1780,20.0254364538373,319.894785880911,0,0.0316851089048045,1.84998989213956,3.84386329604365,1.30543055608106,0.383846153846154,-3.88961538461538,0.0846938025751176,0.144136612386499,0.300348281326428,0.197199598369235,0.0388935508683874,-0.931767348278408,2.39847996262671
326,5,46.96395739,11.46667421,2,7.316028819,0.487061228,0.665218954,0.346303068,0.173151534,0.293333321809769,1519,14.9622917829267,301.182194391853,0,0.0387290963999248,1.79175946922805,3.82586642220966,1.43481310310236,0.39,-3.906,1.33226762955019e-16,0.162413302665582,0.621903833470491,0.253917959043053,0.0233961886104876,-0.942641043240336,2.23710570092554
389,17,46.95496216,11.3486048,2,7.800184533,0,3.197472066,1.664556277,0.832278139,0.269166678190231,1650,17.945632371494,26.6937091378271,0,0,1.79175946922805,3.91202300542815,1.21194097397511,0.37,-3.94,0,0,0,0,0,-0.924279242051605,2.50090063213052
429,5,46.95496216,11.87409167,1,14.03682422,0.15686855,NA,NA,NA,0.270833343267441,1482,11.6335181681384,178.296672781776,0,0.0580936445998873,1.79175946922805,3.65355325577267,1.88055736135686,0.43,-3.838,1.77635683940025e-16,0.243619953998374,0.932855750205737,0.380876938564579,0.0350942829157314,-0.979364645617797,1.70951583851557
434,12,46.95496216,11.93977753,1,21.21555183,0,2.829888235,1.528792741,0.764396371,0.339166671037674,1547,24.9958175050429,279.834281503618,0,0.0691449268352462,2.70442402955149,3.28794261727732,2.32630161961136,0.4925,-3.6325,0.629362175920168,0.341610004509466,0,0.26780409742822,0.0887033805314856,-1.01608824799526,1.18192597610561
464,80,46.94596692,11.36192464,2,94.34907018,0.425203519,14.66966102,7.636806774,3.818403387,0.269166678190231,1614,12.5967293276439,7.8176469224546,0,0.00873673951990491,1.79175946922805,3.89586864607468,1.25372949818647,0.37375,-3.933625,1.2490009027033e-17,0.0366381571442868,0.140292759308285,0.0572803208388138,0.00527785114162368,-0.927722079774492,2.45143908252959
469,33,46.94596692,11.4275995,4,93.00343418,4.368502774,2.165532448,1.257360065,0.628680033,0.360833317041397,1221,11.9023433668467,168.768255283689,0,0.0539946990577776,1.93995932473352,3.54390854556298,1.40102101720429,0.406060606060606,-3.48666666666667,0.0660666082606477,0.420563969744319,0.319763744234055,0.277467742204989,0.18906010998373,-0.784155775367518,2.13904403927967
